timestamp,freq_hz,s_meter
2026-08-10 10:46:53,14017250,-43
2026-08-10 10:46:54,14017500,-43
2026-08-10 10:46:55,14017750,-43
2026-08-10 10:46:56,14018000,-43
2026-08-10 10:46:57,14018250,-43
2026-08-10 10:46:57,14018500,-37
2026-08-10 10:46:58,14018750,-32
2026-08-10 10:46:59,14019000,-32
2026-08-10 10:47:00,14019250,-31
2026-08-10 10:47:01,14019500,-33
2026-08-10 10:47:02,14019750,-37
2026-08-10 10:47:03,14020000,-40
2026-08-10 10:47:04,14020250,-43
2026-08-10 10:47:04,14020500,-43
2026-08-10 10:47:05,14020750,-43
2026-08-10 10:47:06,14021000,-43
2026-08-10 10:47:07,14021250,-43
2026-08-10 10:47:08,14021500,-43
2026-08-10 10:47:09,14021750,-43
2026-08-10 10:47:10,14022000,-41
2026-08-10 10:47:11,14022250,-42
2026-08-10 10:47:12,14022500,-41
2026-08-10 10:47:12,14022750,-40
2026-08-10 10:47:13,14023000,-41
2026-08-10 10:47:14,14023250,-42
2026-08-10 10:47:15,14023500,-40
2026-08-10 10:47:16,14023750,-42
2026-08-10 10:47:17,14024000,-42
2026-08-10 10:47:18,14024250,-43
2026-08-10 10:47:19,14024500,-41
2026-08-10 10:47:19,14024750,-43
2026-08-10 10:47:20,14025000,-44
2026-08-10 10:47:21,14025250,-43
2026-08-10 10:47:22,14025500,-43
2026-08-10 10:47:23,14025750,-43
2026-08-10 10:47:24,14026000,-44
2026-08-10 10:47:25,14026250,-43
2026-08-10 10:47:26,14026500,-43
2026-08-10 10:47:26,14026750,-43
2026-08-10 10:47:27,14027000,-43
2026-08-10 10:47:28,14027250,-43
2026-08-10 10:47:29,14027500,-44
2026-08-10 10:47:30,14027750,-43
2026-08-10 10:47:31,14028000,-43
2026-08-10 10:47:32,14028250,-43
2026-08-10 10:47:33,14028500,-44
2026-08-10 10:47:33,14028750,-44
2026-08-10 10:47:34,14029000,-43
2026-08-10 10:47:35,14029250,-43
2026-08-10 10:47:36,14029500,-40
2026-08-10 10:47:37,14029750,-38
2026-08-10 10:47:38,14030000,-39
2026-08-10 10:47:39,14030250,-40
2026-08-10 10:47:40,14030500,-42
2026-08-10 10:47:40,14030750,-43
2026-08-10 10:47:41,14031000,-44
2026-08-10 10:47:42,14031250,-43
2026-08-10 10:47:43,14031500,-43
2026-08-10 10:47:44,14031750,-43
2026-08-10 10:47:45,14032000,-42
2026-08-10 10:47:46,14032250,-42
2026-08-10 10:47:47,14032500,-43
2026-08-10 10:47:48,14032750,-43
2026-08-10 10:47:48,14033000,-43
2026-08-10 10:47:49,14033250,-43
2026-08-10 10:47:50,14033500,-43
2026-08-10 10:47:51,14033750,-42
2026-08-10 10:47:52,14034000,-43
2026-08-10 10:47:53,14034250,-43
2026-08-10 10:47:54,14034500,-43
2026-08-10 10:47:55,14034750,-43
2026-08-10 10:47:55,14035000,-43
2026-08-10 10:47:56,14035250,-43
2026-08-10 10:47:57,14035500,-42
2026-08-10 10:47:58,14035750,-40
2026-08-10 10:47:59,14036000,-39
2026-08-10 10:48:00,14036250,-39
2026-08-10 10:48:01,14036500,-40
2026-08-10 10:48:02,14036750,-40
2026-08-10 10:48:02,14037000,-41
2026-08-10 10:48:03,14037250,-43
2026-08-10 10:48:04,14037500,-43
2026-08-10 10:48:05,14037750,-43
2026-08-10 10:48:06,14038000,-43
2026-08-10 10:48:07,14038250,-43
2026-08-10 10:48:08,14038500,-42
